# Nominal Omega [RPM]	Nominal R [Ohm]	Measured Omega [RPM]	Measured R [Ohm]	 Measured Power [W]	 Measured Voltage [V]	Measured Current [A]
 200.00000	 200.00000	1217.21952	   1.40673	   7.23950	   3.00000	   2.41317
 200.00000	 500.00000	1207.47402	   1.36168	   7.55619	   3.00000	   2.51873
 200.00000	1000.00000	1202.00059	   1.19815	   9.49907	   2.99999	   3.16636
 200.00000	2000.00000	1205.70845	   1.33308	   8.61992	   3.00000	   2.87331
 200.00000	5000.00000	1209.06718	   1.53465	   7.62776	   3.00000	   2.54258
 500.00000	 200.00000	1044.36041	   1.44045	   6.76889	   3.00001	   2.25629
 500.00000	 500.00000	1052.77293	   1.37859	   7.23199	   3.00001	   2.41065
 500.00000	1000.00000	1031.90102	   1.16627	   9.74371	   3.00000	   3.24791
 500.00000	2000.00000	1036.89373	   1.34269	   8.59418	   3.00001	   2.86472
 500.00000	5000.00000	1038.36755	   1.60745	   7.29136	   3.00001	   2.43043
1000.00000	 200.00000	1416.40035	   0.92168	  11.73224	   3.00002	   3.91072
1000.00000	 500.00000	1384.82443	   0.92246	  11.61373	   3.00002	   3.87122
1000.00000	1000.00000	1392.12682	   0.70698	  14.08611	   3.00001	   4.69536
1000.00000	2000.00000	1396.12116	   0.85773	  13.10286	   3.00001	   4.36760
1000.00000	5000.00000	1402.68593	   1.07572	  12.06158	   3.00002	   4.02049
